"","overall_qual","overall_cond","year_built","gr_liv_area","bedroom_abv_gr","kitchen_abv_gr","tot_rms_abv_grd","fireplaces","garage_area","open_porch_sf","pool_area","mo_sold","yr_sold","sale_price"
"28",6,5,1976,958,2,1,5,1,440,205,0,2,2007,11.7597855429018
"29",5,7,1930,840,3,1,5,1,0,0,0,6,2007,11.3736633976367
"30",4,5,1971,864,3,1,5,1,0,0,0,4,2010,11.6526874073454
"31",5,5,1963,1728,6,2,10,0,504,0,0,11,2006,11.7360690162844
"32",5,7,1931,875,2,1,5,0,180,0,0,11,2009,11.5617156291397
"33",5,4,1936,1344,3,1,7,0,240,114,0,4,2006,11.6526874073454
"34",5,6,1975,969,3,1,5,0,440,0,0,1,2007,11.7117763237154
"35",6,5,1923,1200,4,1,7,0,312,0,0,3,2006,11.7360690162844
"36",6,5,1924,1096,2,1,5,0,0,8,0,4,2008,11.2772031314492
"37",5,7,1950,1040,2,1,5,0,625,0,0,6,2006,11.6036798282387
"38",4,6,1956,882,1,1,4,0,0,0,0,4,2007,11.5444241320296
"39",5,7,1940,1355,4,2,6,0,0,0,0,9,2008,11.7558716435806
"40",5,6,1941,1382,2,1,7,0,660,0,0,5,2007,11.7636841833174
"41",5,6,1923,968,2,1,5,0,480,0,0,7,2007,11.5129254649702
"42",5,6,1957,1340,3,1,7,1,252,0,0,6,2007,11.6952470217642
"43",5,8,1908,1252,3,1,5,0,576,0,0,6,2006,11.7519423654407
"44",5,7,1972,864,3,1,5,0,352,0,0,5,2008,11.7519423654407
"45",6,6,1912,2229,5,1,8,0,0,198,0,7,2009,11.5521461781235
"46",6,6,1924,1310,2,1,6,0,398,0,0,5,2006,11.6262541502772
"47",5,7,1947,1284,2,1,5,0,240,35,0,4,2009,11.6082356447746
"48",4,4,1925,1328,3,1,8,0,210,172,0,9,2006,11.580584113444
"49",5,5,1971,1302,3,1,6,0,280,0,0,5,2009,11.6262541502772
"50",5,5,1967,912,3,1,5,1,336,0,0,5,2010,11.7360690162844
"51",5,6,1976,894,3,1,5,0,308,0,0,2,2010,11.7613468234687
"52",6,3,1971,987,2,1,5,0,264,0,0,8,2008,11.4019939042629
"53",5,9,1945,866,2,1,4,0,0,42,0,8,2007,11.6127707999399
"54",5,4,1900,1440,3,1,6,0,352,0,0,4,2006,11.2772031314492
"55",3,2,1940,1306,3,1,6,0,0,0,0,5,2010,11.2450460198146
"56",5,5,1956,882,2,1,4,0,308,45,0,12,2008,11.4824662574855
"57",5,6,1940,778,2,1,4,1,924,25,0,2,2008,11.6994050319128
"58",5,7,1982,816,2,1,5,0,264,0,0,6,2007,11.7320609948869
"59",4,4,1971,858,3,1,5,0,0,0,0,6,2006,11.3850920934603
"60",6,7,1920,1406,3,1,6,0,0,144,0,3,2008,11.4019939042629
"61",4,5,1940,861,1,1,4,0,539,0,0,3,2009,11.3205535723228
"62",5,7,1939,1118,3,1,5,1,410,0,0,5,2006,11.6944133410156
"63",5,6,1941,803,2,1,5,0,360,0,0,12,2007,11.3736633976367
"64",5,5,1920,1192,3,1,6,0,189,0,0,7,2009,11.2644641056717
"65",5,4,1964,1728,6,2,10,0,352,0,0,11,2007,11.6868787720937
"66",4,4,1950,841,2,1,4,0,294,0,0,9,2009,11.3144745262464
"67",3,4,1949,1040,2,2,6,0,400,0,0,5,2006,11.3793940723457
"68",5,3,1976,1112,3,1,4,0,336,0,0,4,2010,11.3504065354725
"69",5,6,1941,1111,3,1,5,0,200,0,0,3,2008,11.4616321705827
"70",6,8,1928,720,2,1,5,0,484,0,0,5,2010,11.5702505315895
"71",6,8,1972,987,2,1,5,0,264,0,0,5,2009,11.6784399034478
"72",6,5,1984,752,2,1,4,0,264,0,0,2,2010,11.7360690162844
"73",5,6,1953,1319,3,1,5,0,270,0,0,11,2009,11.7199396343546
"74",1,1,1922,904,1,1,4,0,0,0,0,3,2009,11.0186291431554
"75",6,3,1928,784,2,1,5,0,360,0,0,10,2009,11.2384886192685
"76",5,3,1910,1184,5,1,8,0,0,151,0,5,2006,11.3022044336546
"77",6,6,1976,1125,3,1,6,1,352,0,0,10,2009,11.7360690162844
"78",5,8,1900,1367,4,1,7,0,384,130,0,4,2008,11.6868787720937
"79",4,5,1941,788,2,1,4,2,0,0,0,4,2006,11.5129254649702
"80",5,6,1940,1034,2,1,5,0,240,39,0,7,2007,11.5991031612113
"81",5,5,1972,894,2,1,6,0,600,0,0,9,2009,11.7199396343546
"82",5,2,1920,1077,2,1,6,0,338,0,0,11,2007,11.1124478983731
"83",6,5,1936,1639,3,1,6,0,240,0,0,3,2008,11.6526874073454
"84",5,3,1958,1276,3,1,5,0,350,0,0,6,2009,11.0020998412042
"85",5,6,1927,1028,2,1,5,1,360,0,0,3,2010,11.6526874073454
"86",5,6,1940,1134,3,1,7,0,240,0,0,4,2007,11.7440371859336
"87",5,5,1954,988,2,1,4,0,520,0,0,2,2008,11.6351430976945
"88",4,6,1957,907,3,1,5,0,352,0,0,7,2008,11.5991765530135
"89",6,5,1971,987,2,1,4,0,264,0,0,7,2008,11.3551013797767
"90",6,7,1920,1198,4,1,7,0,0,98,0,9,2008,11.2885311317544
"91",5,5,1971,1365,2,1,6,0,440,36,0,8,2007,11.7158663089669
"92",4,7,1972,630,1,1,3,0,0,0,0,6,2008,11.3022044336546
"93",6,7,1926,904,2,1,4,0,180,0,0,1,2009,11.6868787720937
"94",5,6,1913,694,2,1,4,1,352,0,0,3,2007,11.4114462960204
"95",6,8,1920,1196,3,1,7,0,528,46,0,8,2009,11.6082356447746
"96",4,4,1955,1440,4,2,8,0,0,0,0,9,2008,11.6784399034478
"97",6,5,1956,1689,3,1,7,1,480,0,0,11,2009,11.7558716435806
"98",3,7,1948,1183,2,1,6,0,308,176,0,6,2007,11.6952470217642
"99",5,5,1916,1344,4,1,7,0,513,0,0,5,2008,11.4927227576527
"100",5,5,1965,864,3,1,5,1,360,0,0,12,2009,11.0410480813427
"101",5,5,1978,1040,3,1,5,0,0,0,0,8,2009,11.7280368445872
"102",4,7,1937,1131,2,1,7,0,672,72,0,3,2007,11.40166982941
"103",5,6,1976,1304,3,1,4,1,336,24,0,6,2008,11.6526874073454
"104",5,8,1938,886,2,1,4,0,273,20,0,12,2009,11.4219060665831
"105",4,5,1920,720,2,1,4,0,0,523,0,11,2009,10.4602421081905
"106",6,5,1973,1218,3,1,7,0,264,28,0,5,2007,11.6351430976945
"107",5,5,1952,1960,4,2,10,0,400,0,0,7,2009,11.7320609948869
"108",5,6,1959,1041,3,1,6,0,270,88,0,7,2009,11.7320609948869
"109",5,5,1958,864,3,1,5,0,624,0,0,7,2006,11.7745202026587
"110",5,5,1926,789,2,1,5,0,200,0,0,6,2007,11.4772982873271
"111",5,7,1955,827,2,1,5,1,392,0,0,4,2010,11.5852461265499
"112",1,3,1946,334,1,1,2,0,0,0,0,1,2007,10.5789797978574
"113",5,7,1910,1347,3,1,5,0,0,0,0,1,2008,11.5852461265499
"114",5,7,1970,768,2,1,5,0,624,0,0,4,2007,11.7714361601217
"115",4,5,1949,1126,2,1,5,0,520,96,0,5,2009,11.5898865061064
"116",5,6,1922,1048,2,1,5,1,280,0,0,8,2006,11.6351430976945
"117",5,6,1957,1392,3,1,5,1,528,0,0,5,2010,11.7076695417627
"118",5,6,1940,996,3,1,6,1,0,0,0,7,2008,11.5898865061064
"119",6,4,1915,1647,4,1,6,0,216,66,0,5,2010,11.7597855429018
"120",6,6,1959,864,2,1,4,0,288,0,0,10,2006,11.6952470217642
"121",5,5,1947,1216,2,1,6,0,336,0,0,10,2008,11.6826682395573
"122",5,6,1930,935,2,1,4,0,308,0,0,8,2008,11.2835123006424
"123",5,6,1975,924,3,1,5,0,280,0,0,4,2008,11.6082356447746
"124",6,7,1910,1368,3,1,7,0,216,158,0,10,2006,11.6483650358641
"125",4,5,1961,1029,3,1,5,0,261,0,0,4,2007,11.6826682395573
"126",6,6,1954,832,2,1,4,0,528,0,0,6,2008,11.5664662318983
"127",5,6,1880,1750,3,1,8,0,240,0,0,6,2006,11.7280368445872
"128",7,5,1977,1411,3,1,6,1,544,0,0,4,2009,11.3205535723228
"129",2,3,1936,800,1,1,4,1,0,0,0,1,2009,11.0020998412042
"130",5,7,1910,796,2,1,4,0,0,0,0,5,2008,11.3504065354725
"131",4,6,1970,630,1,1,3,0,0,0,0,12,2007,11.3445068133453
"132",4,5,1940,1510,4,1,7,1,296,0,0,10,2009,11.5898865061064
"133",6,5,1971,1092,3,1,6,0,264,0,0,3,2010,11.3850920934603
"134",6,5,1948,1458,3,1,6,1,330,0,0,1,2010,11.4876076569859
"135",6,3,1968,1392,2,1,5,2,576,0,0,7,2009,11.6082356447746
"136",6,5,1965,2380,3,1,7,1,596,265,0,8,2007,11.7675676833438
"137",6,6,1925,1369,3,1,6,0,300,0,0,7,2009,11.5482926088075
"138",4,2,1900,1774,4,2,8,0,779,0,0,5,2006,11.3736633976367
"139",5,8,1924,792,2,1,5,0,240,0,0,5,2009,11.6036798282387
"140",5,5,1961,988,3,1,5,0,572,0,0,10,2007,11.7636841833174
"141",4,5,1930,1092,3,2,7,0,0,0,0,7,2010,10.9150884642146
"142",5,7,1966,904,3,1,6,0,408,0,0,12,2008,11.6073261403917
"143",3,6,1935,729,2,1,5,0,0,0,0,7,2008,10.8589989975636
"144",4,7,1900,1178,2,1,7,0,384,0,0,1,2010,11.5403071417114
"145",4,5,1970,960,3,1,6,0,576,288,0,5,2006,11.7675676833438
"146",5,6,1969,971,3,1,5,1,300,0,0,5,2006,11.7636841833174
"147",4,7,1970,864,3,1,5,0,463,0,0,7,2009,11.7320609948869
"148",4,6,1970,864,3,1,5,0,660,0,0,11,2009,11.6994050319128
"149",5,5,1958,1776,4,2,9,0,888,25,0,7,2009,11.6082356447746
"150",4,5,1925,1208,2,1,5,0,539,23,0,1,2009,11.5424842672118
"151",5,5,1968,948,3,1,6,0,300,0,0,5,2007,11.5898865061064
"152",3,4,1950,1040,2,2,6,0,400,0,0,7,2006,11.4457167152768
"153",4,3,1945,1529,4,1,9,0,240,0,0,4,2009,11.4927227576527
"154",4,7,1910,1140,3,1,7,0,0,160,0,6,2010,11.4772982873271
"155",6,6,1959,864,2,1,5,0,300,0,0,10,2009,11.7558716435806
"156",5,5,1924,1301,2,1,5,0,440,0,0,10,2009,11.5129254649702
"157",4,5,1951,1220,2,1,6,0,396,0,0,4,2006,11.5327280922664
"158",6,5,1976,1117,3,1,6,1,672,0,0,3,2010,11.580584113444
"159",5,5,1958,912,2,1,5,0,275,0,0,7,2007,11.6483301019764
"160",6,6,1914,1484,3,1,9,1,0,291,0,6,2008,11.7597855429018
"161",4,7,1954,901,2,1,4,0,281,0,0,8,2008,11.5889601512462
"162",5,5,1953,773,2,1,4,0,240,0,0,4,2008,11.6082356447746
"163",4,7,1916,1196,2,1,5,0,440,0,0,7,2007,11.6073261403917
"164",5,5,1898,2138,2,3,11,0,360,156,0,11,2009,11.5711943730942
"165",5,5,1952,1044,2,1,4,0,504,0,0,6,2010,10.9329819619041
"166",5,7,1918,1250,3,1,7,0,280,0,0,7,2006,11.6613454700885
"167",4,4,1953,936,2,1,4,0,576,32,0,2,2009,11.4403547721354
"168",5,6,1924,784,2,1,5,0,0,0,0,5,2008,11.6036798282387
"169",4,7,1950,1067,2,1,4,0,436,0,0,2,2010,11.7597855429018
"170",6,5,1973,987,2,1,5,0,264,0,0,11,2008,11.5129254649702
"171",5,8,1962,1040,3,1,6,0,260,104,0,4,2010,11.7519423654407
"172",5,5,1962,894,2,1,5,0,308,0,0,8,2009,11.6036798282387
"173",5,7,1953,910,3,1,5,0,414,0,0,10,2008,11.6613454700885
"174",5,6,1941,1131,3,1,5,0,200,0,0,8,2009,11.1049572266439
"175",4,5,1912,2230,5,1,10,0,440,188,0,3,2006,11.6826682395573
"176",5,7,1949,924,3,1,6,1,576,0,0,7,2007,11.7191262955541
"177",5,5,1979,1535,4,2,8,0,400,0,0,6,2009,11.6856847822605
"178",4,6,1936,951,2,1,6,0,327,28,0,4,2006,11.5759002641316
"179",4,6,1971,858,2,1,4,0,684,0,0,6,2007,11.6082356447746
"180",5,5,1954,1063,3,1,6,0,280,0,0,2,2010,11.7597855429018
"181",5,7,1925,1015,3,1,6,0,450,0,0,7,2006,11.3850920934603
"182",4,5,1970,1092,3,1,6,0,286,0,0,1,2007,11.2252433925184
"183",2,3,1949,480,1,1,4,0,308,0,0,10,2006,10.4719498091105
"184",5,6,1965,925,2,1,5,0,429,0,0,7,2009,11.6741936125664
"185",4,5,1926,747,1,1,5,0,528,0,0,6,2006,11.2885311317544
"186",5,6,1890,1869,2,1,7,0,456,0,0,9,2009,11.7352686961137
"187",5,8,1950,864,3,1,5,0,720,0,0,7,2007,11.7675676833438
"188",6,5,1975,980,4,0,4,0,0,0,0,10,2006,11.7558716435806
"189",6,6,1980,1229,2,1,5,1,462,0,0,5,2009,11.7280368445872
"190",5,7,1958,858,2,1,4,0,0,0,0,2,2010,11.6656465519879
"191",3,6,1910,968,2,1,6,0,0,0,0,5,2009,10.5427063910705
"192",6,5,1979,918,2,1,5,1,264,0,0,4,2010,11.5079129231467
"193",4,7,1923,869,2,1,4,0,0,0,0,8,2006,11.3562716549249
"194",4,5,1954,894,3,1,5,0,400,0,0,5,2007,11.6082356447746
"195",5,5,1977,1734,4,2,8,0,539,0,0,8,2009,11.7440371859336
"196",5,5,1950,1164,3,1,5,0,240,48,0,8,2008,11.7360690162844
"197",6,8,1910,1635,2,1,5,0,255,0,0,6,2006,11.6699292137799
"198",4,7,1946,1230,3,1,5,0,305,57,0,8,2006,11.7084922485142
"199",3,3,1952,944,2,1,4,0,528,0,0,7,2009,11.3144745262464
"200",5,6,1920,691,2,1,4,0,216,20,0,1,2007,11.3621025752356
"201",5,5,1926,1522,4,1,7,0,0,0,0,6,2006,11.5327280922664
"202",5,4,1910,1022,2,1,4,0,280,30,0,6,2009,11.3504065354725
"203",6,5,1948,1082,2,1,5,1,240,130,0,11,2007,11.6885580336134
"204",5,5,1930,1248,2,1,6,0,160,0,0,3,2007,11.3736633976367
"205",5,5,1972,882,3,1,5,0,461,0,0,3,2007,11.6307085006266
"206",5,5,1941,1376,3,1,6,1,240,0,0,4,2007,11.5617156291397
"207",5,7,1938,954,2,1,5,1,240,0,0,6,2007,11.6931615152732
"208",4,3,1957,845,3,1,5,0,290,0,0,1,2009,11.3385720778255
"209",4,4,1970,630,1,1,3,0,286,0,0,4,2009,11.289781913656
"210",5,4,1960,1771,3,1,9,1,336,0,0,11,2009,11.6526874073454
"211",4,7,1946,930,2,1,6,0,308,0,0,4,2010,11.3492293722994
"212",3,4,1935,894,2,1,6,0,1248,20,0,8,2008,11.3022044336546
"213",5,3,1948,1456,4,1,7,1,280,0,0,8,2006,11.4240942512636
"214",5,5,1994,990,3,1,5,0,299,64,0,4,2007,11.7440371859336
"215",4,5,1973,1092,3,1,6,0,286,96,0,5,2010,11.3326019108389
"216",3,4,1950,1040,2,2,6,0,400,0,0,6,2009,11.4392789248019
"217",5,7,1956,936,2,1,4,0,308,0,0,5,2010,11.7675676833438
"218",6,7,1914,1355,3,1,7,0,0,0,0,3,2007,11.7519423654407
"219",4,6,1936,1324,3,1,6,0,240,0,0,7,2009,11.7597855429018
"220",2,5,1920,438,1,1,3,0,246,0,0,1,2009,11.0020998412042
"221",5,5,1971,950,3,1,5,0,280,0,0,7,2007,11.6910716503537
"222",5,5,1970,1302,3,1,6,0,440,0,0,4,2007,11.5711943730942
"223",5,7,1957,816,2,1,5,0,308,0,0,7,2006,11.7745202026587
"224",5,7,1954,833,2,1,4,0,326,0,0,8,2006,11.6699292137799
"225",5,9,1947,698,2,1,4,0,0,200,0,6,2009,11.6784399034478
"226",5,5,1991,974,3,1,5,0,0,28,0,9,2007,11.4457167152768
"227",6,4,1880,2210,5,1,8,0,205,48,0,5,2007,11.6741936125664
"228",6,5,1926,986,2,1,5,1,180,128,0,5,2007,11.5327280922664
"229",6,5,1950,1252,3,1,6,0,288,0,0,4,2008,11.6868787720937
"230",5,8,1875,1020,2,1,6,0,0,0,0,5,2010,11.4510500612521
"231",5,3,1959,1006,3,1,5,0,0,24,0,7,2008,11.289781913656
"232",4,4,1941,924,2,1,5,0,280,0,0,7,2010,11.289781913656
"233",7,7,1926,1111,2,1,5,1,288,0,0,8,2008,11.6690741474602
"234",6,5,1950,932,2,1,4,1,306,0,0,11,2007,11.7280368445872
"235",6,8,1930,816,2,1,5,0,432,0,0,6,2008,11.6994050319128
"236",4,4,1969,1258,0,2,6,0,400,0,0,1,2008,11.5987269436613
"237",5,5,1984,923,3,1,5,0,264,0,0,10,2008,11.6910716503537
"238",6,8,1926,1224,3,1,5,0,210,0,0,12,2009,11.6526874073454
"239",5,7,1924,1221,4,1,7,0,392,0,0,3,2006,11.5607627943844
"240",5,8,1925,1472,3,1,6,0,250,0,0,7,2007,11.7360690162844
"241",4,5,1970,864,3,1,5,0,280,0,0,7,2006,11.6617764117026
"242",4,4,1966,1056,2,1,5,0,384,42,0,11,2006,11.580584113444
"243",5,5,1966,894,3,1,5,0,384,0,0,5,2007,11.7360690162844
"244",6,5,1978,1902,4,2,8,0,539,0,0,4,2010,11.6262541502772
"245",6,5,1971,1218,3,1,7,0,0,0,0,4,2006,11.4240942512636
"246",5,5,1960,1507,4,1,7,0,404,0,0,8,2008,11.7519423654407
"247",4,5,1962,1224,2,2,6,0,462,0,0,3,2007,11.5307653830986
"248",6,5,1917,2058,3,1,8,1,396,0,0,4,2008,11.7714361601217
"249",5,7,1950,988,3,1,6,0,276,80,0,5,2007,11.6868787720937
"250",6,6,1931,1367,3,1,6,1,560,0,0,11,2007,11.7558716435806
"251",5,8,1922,864,2,1,4,0,0,96,0,7,2009,11.5119249646366
"252",7,4,1910,1889,4,2,9,1,308,0,0,1,2007,11.7117763237154
"253",4,4,1920,1128,2,1,6,0,528,0,0,4,2010,11.1331281036106
"254",5,7,1972,1302,3,1,6,0,264,0,0,2,2009,11.6910716503537
"255",5,7,1955,864,2,1,5,0,572,0,0,4,2006,11.6526874073454
"256",4,6,1954,948,3,1,5,1,280,36,0,10,2007,11.6868787720937
"257",3,6,1949,720,2,1,4,0,287,0,0,7,2008,11.1913418408428
"258",4,4,1922,796,2,1,5,0,0,0,0,1,2008,10.9150884642146
"259",3,6,1931,774,3,1,6,0,0,0,0,5,2007,11.2772031314492
"260",4,6,1938,816,2,1,3,1,288,0,0,5,2009,11.5129254649702
"261",5,6,1938,1360,2,1,6,0,297,65,0,7,2006,11.740061037554
"262",5,6,1970,1365,3,1,7,0,440,36,0,5,2009,11.7360690162844
"263",4,4,1941,693,2,1,4,0,0,20,0,3,2006,10.8685684485797
"264",5,7,1972,864,3,1,5,0,288,0,0,6,2006,11.7636841833174
"265",4,5,1971,872,3,1,5,0,480,0,0,6,2007,11.7199396343546
"266",4,4,1920,960,2,1,5,0,308,0,0,7,2007,11.5945054519627
"267",8,5,1872,2358,4,1,8,0,0,54,0,12,2008,11.7117763237154
"268",5,6,1977,1475,4,1,6,1,336,26,0,7,2006,11.7519423654407
"269",4,6,1920,1374,2,1,6,0,338,0,0,10,2009,11.5617156291397
"270",6,5,1930,790,2,1,4,0,160,141,0,4,2008,11.418614785499
"271",6,5,1973,987,2,1,5,0,264,0,0,6,2006,11.3265958867787
"272",3,3,1914,864,2,1,5,0,200,0,0,6,2010,10.9767820332199
"273",5,7,1918,1416,3,1,7,0,576,0,0,8,2007,11.6262541502772
"274",6,5,1939,1258,2,1,6,0,280,0,0,10,2009,11.5617156291397
"275",4,8,1922,1154,3,1,7,0,240,96,0,5,2010,11.740061037554
"276",5,5,1967,1584,4,2,8,0,792,152,0,4,2009,11.7280368445872
"277",5,5,1967,900,3,1,6,1,288,144,0,12,2006,11.7199396343546
"278",6,7,1929,1158,3,1,5,1,208,0,0,7,2008,11.6952470217642
"279",3,4,1915,1214,3,1,6,0,936,0,0,1,2006,11.5617156291397
"280",5,5,1985,833,3,1,5,0,0,0,0,3,2009,11.6262541502772
"281",4,5,1949,1040,2,2,6,0,420,0,0,6,2009,11.4075649493124
"282",4,6,1885,2290,4,2,11,0,560,0,0,4,2010,11.7158663089669
"283",5,5,1963,1144,3,1,6,0,336,88,0,8,2008,11.7280368445872
"284",6,5,1977,1069,2,1,4,1,440,55,0,7,2010,11.7558716435806
"285",5,7,1940,804,2,1,4,2,240,0,0,2,2010,11.6868787720937
"286",4,6,1927,968,4,1,5,0,216,0,0,8,2007,11.0744205027839
"287",4,6,1971,864,3,1,5,0,528,0,0,5,2007,11.6994050319128
"288",6,6,1916,952,2,1,4,1,192,98,0,5,2009,11.7035458245789
"289",6,5,1966,913,3,1,6,0,240,0,0,5,2007,11.7675676833438
"290",4,7,1910,1346,2,1,6,0,384,24,0,5,2007,11.6262541502772
"291",5,7,1970,630,1,1,3,0,0,0,0,8,2006,11.4295438560312
"292",5,5,2006,1140,3,1,6,0,0,56,0,7,2006,11.3445068133453
"293",7,5,1915,1717,3,1,7,1,642,35,0,2,2006,11.8493977015914
"294",5,5,1993,1362,1,1,5,0,480,30,0,10,2009,11.870599909242
"295",6,5,1960,1253,2,1,5,1,352,213,0,5,2008,11.9640010843304
"296",7,8,1929,854,2,1,5,0,576,112,0,7,2007,11.7905572015685
"297",6,7,1970,1004,2,1,5,1,480,0,0,3,2010,11.9117015849276
"298",5,5,2004,1114,3,1,6,0,576,102,0,6,2008,11.9766594812024
"299",5,6,1958,1339,3,1,6,0,294,0,0,5,2009,11.8422292121128
"300",7,7,1930,1108,3,1,6,1,280,0,0,6,2007,11.8451027773086
"301",5,8,1968,1060,3,1,6,1,270,90,0,5,2010,11.9447078813958
"302",5,7,1951,900,3,1,5,0,576,32,0,5,2010,11.8115474774603
"303",5,6,1966,1228,3,1,6,0,271,65,0,6,2008,11.9140478236443
"304",5,6,1954,1297,3,1,5,1,498,0,0,10,2009,11.9381932003746
"305",6,5,1965,1324,3,1,6,1,440,138,0,12,2006,11.982929094216
"306",5,7,1983,884,2,1,5,0,504,0,0,12,2007,11.8775685785581
"307",5,6,1975,938,3,1,5,0,308,0,0,7,2008,11.7772109596156
"308",5,6,1959,1150,3,1,6,0,300,0,0,5,2006,11.8565151693603
"309",5,5,1955,1360,3,1,6,1,572,50,0,2,2007,11.7752897294377
"310",6,5,2004,1158,3,1,5,0,576,50,0,5,2006,11.9703503120091
"311",7,6,1921,1710,3,1,9,0,480,11,0,4,2010,11.8493977015914
"312",4,7,1956,952,2,1,4,0,283,0,0,4,2008,11.8185702377962
"313",4,5,1968,1768,4,2,8,0,0,0,0,4,2010,11.8240798936072
"314",6,5,1998,1337,2,1,5,0,405,199,0,3,2006,11.9414558460094
"315",6,6,1910,2291,4,2,9,1,506,0,0,11,2007,11.8048485316793
"316",5,5,1962,1092,3,1,6,1,288,20,0,9,2009,11.8422292121128
"317",5,5,2006,1125,2,1,5,0,430,64,0,4,2007,11.9511803959014
"318",6,5,1993,1199,2,1,5,0,530,63,0,3,2008,11.944058319827
"319",6,5,1966,1348,3,1,6,1,453,108,0,7,2006,11.9511803959014
"320",5,7,1958,1053,3,1,6,0,750,80,0,7,2006,11.9183905730784
"321",5,5,1967,1214,3,1,5,1,318,111,0,7,2007,11.870599909242
"322",6,5,2004,1709,3,1,7,0,380,40,0,4,2006,11.7752897294377
"323",7,5,2004,1080,3,1,6,0,0,0,0,4,2008,11.8565151693603
"324",6,6,1984,1232,3,1,6,0,516,0,0,6,2008,11.9984332807519
"325",6,7,1926,1616,3,1,5,0,216,0,0,10,2007,11.9316357998284
"326",5,7,1916,1656,3,1,8,0,180,0,0,8,2009,11.8130300574206
"327",4,5,2003,1121,2,1,5,0,440,64,0,3,2010,11.8493977015914
"328",6,5,2004,848,1,1,3,1,420,0,0,1,2008,11.9117015849276
"329",5,5,1962,1696,3,1,8,1,349,30,0,3,2007,11.8768738928755
"330",4,5,1960,1100,3,1,6,1,312,0,0,4,2008,11.8565151693603
"331",6,7,1964,1092,3,1,6,0,504,0,0,7,2008,11.8844890214027
"332",5,5,1995,990,3,1,5,0,576,0,0,7,2006,11.9576112862317
"333",5,6,1957,1236,2,1,6,1,447,0,0,5,2006,11.808947661697
"334",6,6,1959,1194,3,1,6,0,312,0,0,4,2010,11.9049675527463
"335",6,8,1910,1928,4,2,9,0,440,60,0,4,2006,11.8277362048103
"336",6,5,1954,1375,2,1,5,1,451,30,0,6,2006,11.8493977015914
"337",5,6,1957,1314,3,1,5,0,294,0,0,6,2010,11.8844890214027
"338",5,7,1929,1316,3,1,6,0,484,0,0,4,2010,11.7752897294377
"339",6,7,1976,1113,3,1,6,1,504,30,0,5,2007,11.9049675527463
"340",6,6,1958,1632,3,1,6,1,338,0,0,4,2009,11.8422292121128
"341",6,7,1962,1734,3,1,7,1,440,0,0,6,2006,11.9766594812024
"342",6,7,1915,1396,3,1,7,0,384,0,0,7,2007,11.9419443260321
"343",5,6,1912,1716,6,1,9,0,0,184,0,3,2008,11.8196746001392
"344",5,4,1949,1716,3,1,8,1,281,0,0,1,2009,11.7829526021833
"345",6,6,1984,1003,3,1,6,0,588,0,0,3,2006,11.8670972786908
"346",5,5,1950,1558,4,1,6,0,282,0,0,6,2007,11.9316357998284
"347",6,8,1950,1152,3,1,6,1,300,36,0,8,2009,11.9735098722995
"348",5,7,1972,894,3,1,5,0,552,0,0,7,2006,11.9177236840907
